Date,High,Low,Open,Close,Volume,Adj Close,Fast_EMA,Slow_EMA,APO,Orders,Position,PnL
2015-01-02,15.737500190734863,15.347999572753906,15.628999710083008,15.425999641418457,55664000,15.425999641418457,15.425999641418457,15.425999641418457,0.0,0,0,0.0
2015-01-05,15.418999671936035,15.042499542236328,15.350500106811523,15.10949993133545,55484000,15.10949993133545,15.420078606634048,15.424411071110443,-0.004332464476394904,0,0,0.0
2015-01-06,15.149999618530273,14.619000434875488,15.112000465393066,14.76449966430664,70380000,14.76449966430664,15.399142568523974,15.418756964816511,-0.01961439629253725,0,0,0.0
2015-01-07,15.064000129699707,14.766500473022461,14.875,14.920999526977539,52806000,14.920999526977539,15.385211841105345,15.414866132258114,-0.02965429115276841,0,0,0.0
2015-01-08,15.156999588012695,14.805500030517578,15.015999794006348,15.02299976348877,61768000,15.02299976348877,15.375756738184226,15.412121714920866,-0.03636497673664074,0,0,0.0
2015-01-09,15.143500328063965,14.833999633789062,15.074000358581543,14.846500396728516,51848000,14.846500396728516,15.362291605710519,15.408260898442762,-0.04596929273224326,0,0,0.0
2015-01-12,14.92549991607666,14.46399974822998,14.878000259399414,14.570500373840332,68428000,14.570500373840332,15.338629821838712,15.401544050512877,-0.06291422867416507,0,0,0.0
2015-01-13,15.074999809265137,14.661499977111816,14.87399959564209,14.737000465393066,82728000,14.737000465393066,15.321071000087684,15.396340513486631,-0.07526951339894694,0,0,0.0
2015-01-14,14.795499801635742,14.324999809265137,14.596500396728516,14.66349983215332,110774000,14.66349983215332,15.301884415873674,15.390603666061478,-0.08871925018780402,0,0,0.0
2015-01-15,14.800000190734863,14.340999603271484,14.699999809265137,14.34749984741211,88384000,14.34749984741211,15.26960080565394,15.381137043753343,-0.1115362380994025,0,0,0.0
2015-01-16,14.53950023651123,14.262499809265137,14.314000129699707,14.536999702453613,69564000,14.536999702453613,15.244790732156556,15.373467272295795,-0.12867654013923868,0,0,0.0
2015-01-20,14.668000221252441,14.319499969482422,14.629500389099121,14.472000122070312,61502000,14.472000122070312,15.218293486598922,15.365174540340792,-0.1468810537418701,0,0,0.0
2015-01-21,15.300000190734863,14.36299991607666,14.482000350952148,14.862500190734863,201302000,14.862500190734863,15.206540450686145,15.360719538828485,-0.1541790881423406,0,0,0.0
2015-01-22,15.612500190734863,15.0,15.0,15.515999794006348,107252000,15.515999794006348,15.218528700192772,15.36233344111936,-0.14380474092658702,0,0,0.0
2015-01-23,15.846500396728516,15.38599967956543,15.404000282287598,15.619500160217285,89928000,15.619500160217285,15.23612367670863,15.365361043389933,-0.1292373666813038,0,0,0.0
2015-01-26,15.649999618530273,15.37600040435791,15.590999603271484,15.482999801635742,63394000,15.482999801635742,15.247406972448587,15.366803544444966,-0.11939657199637921,0,0,0.0
2015-01-27,15.51200008392334,15.131500244140625,15.3149995803833,15.337499618530273,58406000,15.337499618530273,15.251529377147726,15.36644379849113,-0.11491442134340346,0,0,0.0
2015-01-28,15.575499534606934,15.1899995803833,15.490500450134277,15.195500373840332,61276000,15.195500373840332,15.249011310056156,15.364382619870666,-0.11537130981450971,0,0,0.0
